,Customer ID,Gender,Age,Married,Dependents,Senior Citizen,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Avg Monthly GB Download,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Churn
0,8064-RAVOH,1,44,0,1,0,1,1,0,1,25,0,0,0,1,1,49.85,49.85,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,8999-YPYBV,1,63,1,0,0,45,1,0,1,3,1,1,1,1,1,84.35,3858.05,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2,0620-XEFWH,1,41,1,1,0,4,1,0,0,0,0,0,0,0,0,18.85,84.2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
3,0899-WZRSD,1,31,0,0,0,56,1,1,1,24,1,1,1,1,1,105.35,5794.45,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
4,7895-VONWT,0,20,0,0,0,25,0,0,1,59,1,1,1,1,1,48.25,1293.8,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
5,1270-XKUCC,0,24,1,1,0,30,1,0,0,0,0,0,0,0,0,19.7,599.25,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
6,2195-VVRJF,1,74,1,0,1,18,1,0,1,13,0,1,0,1,1,59.1,1011.05,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7,4109-CYRBD,1,77,1,0,1,29,1,1,1,9,0,0,0,1,1,51.6,1442.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
8,4338-EYCER,1,57,1,0,0,21,1,0,1,11,1,0,0,1,0,54.6,1125.2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
9,2578-JQPHZ,1,30,0,0,0,44,1,0,1,59,1,1,1,1,0,100.1,4378.35,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10,5583-EJXRD,1,19,1,1,0,44,0,0,1,59,0,1,1,1,1,54.05,2375.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
11,6296-DDOOR,0,19,0,0,0,19,1,0,1,69,1,0,0,1,0,58.2,1045.25,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12,4415-WNGVR,0,73,1,0,1,12,1,0,1,13,1,1,1,0,1,79.2,943.85,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
13,5091-HFAZW,0,36,0,0,0,2,1,0,1,12,1,0,0,0,1,91.15,168.5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
14,9565-AXSMR,1,19,1,1,0,52,1,0,0,0,0,0,0,0,0,19.2,1054.75,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
15,8160-HOWOX,0,30,0,0,0,7,1,0,1,85,1,1,1,1,1,66.85,458.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
16,1110-KYLGQ,0,46,0,0,0,63,1,1,1,16,1,1,1,1,0,108.25,6780.1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
17,9957-YODKZ,1,75,1,0,1,6,1,1,1,17,0,0,0,0,1,80.8,457.1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
18,8887-IPQNC,0,61,1,0,0,7,1,0,1,24,0,0,0,0,1,44.25,313.45,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
19,2256-YLYLP,1,45,1,1,0,68,1,0,1,25,1,1,1,1,1,72.95,4953.25,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
20,4770-QAZXN,0,42,0,0,0,13,1,0,0,0,0,0,0,0,0,19.45,232.1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
21,1763-WQFUK,1,45,0,0,0,3,1,0,1,25,0,0,0,1,1,50.5,147.75,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
22,8215-NGSPE,0,63,1,1,0,42,1,0,0,0,0,0,0,0,0,20.0,833.55,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
23,9442-JTWDL,0,52,0,0,0,11,1,0,0,0,0,0,0,0,0,20.05,237.7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
24,9928-BZVLZ,0,58,0,0,0,12,0,0,1,7,0,1,1,1,0,49.85,552.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
25,2692-AQCPF,0,32,1,0,0,65,1,1,1,15,1,1,1,1,1,108.05,7118.9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
26,1621-YNCJH,0,54,1,0,0,36,1,1,1,18,0,1,1,0,1,106.05,3834.4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
27,9506-UXUSK,1,53,0,0,0,13,1,0,1,10,0,0,0,0,1,70.15,931.75,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
28,7808-DVWEP,1,51,1,0,0,3,1,0,0,0,0,0,0,0,0,20.0,49.65,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
29,9518-IMLHK,1,48,0,0,0,31,1,0,1,27,1,0,0,1,1,72.45,2156.25,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
30,1682-VCOIO,1,56,0,0,0,23,1,0,0,0,0,0,0,0,0,20.45,481.1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
31,7706-YLMQA,0,30,0,0,0,70,1,0,0,0,0,0,0,0,0,19.7,1341.5,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
32,2475-MROZF,1,36,0,0,0,30,1,1,1,29,0,0,0,1,1,95.0,2852.4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
33,9419-IPPBE,0,21,1,1,0,51,1,1,1,59,0,1,1,1,1,90.15,4554.85,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
34,3717-LNXKW,1,36,1,0,0,38,1,1,1,9,1,0,0,1,0,91.7,3479.05,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
35,2187-PKZAY,1,23,0,0,0,12,1,0,1,41,0,1,1,1,1,79.95,1043.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
36,2812-SFXMJ,1,46,0,1,0,1,1,0,0,0,0,0,0,0,0,20.05,20.05,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
37,0674-EYYZV,0,41,0,0,0,1,1,0,1,4,1,0,0,1,1,54.65,54.65,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
38,8570-KLJYJ,0,40,0,0,0,36,1,1,1,21,0,0,0,1,0,54.45,1893.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
39,8963-JLGJT,1,20,0,1,0,3,1,0,1,69,0,0,1,1,0,55.9,157.55,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
40,6815-ABQFQ,1,53,1,0,0,56,1,1,1,25,1,1,1,1,1,107.25,6033.3,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
41,5628-RKIFK,0,76,0,0,1,49,1,1,1,14,1,1,1,1,0,101.55,5070.4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
42,4931-TRZWN,0,54,0,0,0,13,1,0,1,5,1,1,1,1,1,71.95,923.85,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
43,1020-JPQOW,0,63,1,0,0,56,1,1,1,20,0,0,0,0,0,90.55,5116.6,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
44,8106-GWQOK,1,47,1,0,0,38,0,0,1,25,1,1,1,1,1,60.0,2193.2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
45,2379-GYFLQ,1,31,0,0,0,46,1,1,1,22,1,0,0,1,1,94.9,4422.95,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
46,0810-DHDBD,0,31,0,0,0,52,1,1,1,21,1,0,0,1,0,74.0,3877.65,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
47,1656-DRSMG,0,40,0,0,0,63,1,1,1,20,1,1,1,1,1,109.85,7002.95,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
48,8200-LGKSR,1,47,1,0,0,71,1,1,1,12,1,1,1,1,0,83.2,6126.1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
49,7977-HXJKU,1,45,0,1,0,21,1,0,0,0,0,0,0,0,0,19.6,397.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
50,3472-QPRCH,1,43,1,1,0,40,1,1,0,0,0,0,0,0,0,25.25,1006.9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
51,2823-LKABH,0,51,0,0,0,18,1,1,1,12,0,1,1,1,1,95.05,1679.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
52,7777-UNYHB,0,43,1,1,0,12,1,0,0,0,0,0,0,0,1,20.1,232.4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
53,4759-PXTAN,0,34,1,0,0,59,1,1,1,13,1,1,1,1,1,80.1,4693.2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
54,9578-FOMUK,1,53,0,1,0,15,1,1,0,0,0,0,0,0,1,24.8,324.15,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
